id,caption,image,tgt_id
463,a woman wearing a white tie,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/570951_457105_500240_rg.png,1
2931,a cup of a cup on a coffee in a cup,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/143258_1880323_1495865_gr.png,2
5737,the woman in the black jacket,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/310878_500090_444543_gr.png,2
5225,a motorcycle with black and black motorcycle,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/8339_150450_152689_rg.png,1
5826,a wooden chair with brown and white,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/278260_376803_484067_gr.png,2
2027,a chair with a white and a wooden on it,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/502564_387640_384827_gr.png,2
1856,an elephant with his trunk,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/322095_580484_583021_gr.png,2
1753,a truck,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/453002_366078_482347_rg.png,1
3768,a black car in front of a pole to the other road,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/185177_1766500_201992_rg.png,1
3970,black chair with black and black sitting on it,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/203671_192903_194250_gr.png,2
5355,the white cat sleeping on the couch,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/564330_48649_1402439_rg.png,1
5192,the yellow and yellow chair behind the orange,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/219958_1042840_1045451_rg.png,1
4285,a piece of a piece of pizza,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/292440_1160311_2147432_rg.png,1
5031,a sheep bear on a sheep,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/178774_67862_67594_rg.png,1
1330,a tray and carrots with carrots,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/100022_712188_1899463_rg.png,1
4237,a giraffe to the right of a giraffe,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/93786_597922_598421_rg.png,1
4981,a woman in a white shirt with a black mouth,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/47667_1968318_33346_gr.png,2
4210,an girl in a blue shirt,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/308752_518076_470166_rg.png,1
4821,a black cat is sitting on the left of a desk,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/448851_51050_48646_rg.png,1
1147,a green color color white chair with green color handle,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/452022_376685_2189803_gr.png,2
4499,zebra eating grass,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/130714_589110_589705_gr.png,2
3839,a man in a blue shirt,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/152556_1740603_415321_gr.png,2
4652,a young blonde man with a green shirt,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/153749_467404_461323_gr.png,2
3343,a train is sitting in a bench,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/240467_2063457_573405_rg.png,1
3077,a black and white shirt,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/430067_1734892_2204791_rg.png,1
4835,a zebra in the back of the back,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/178553_590416_591573_gr.png,2
5211,a giraffe with a giraffe ' s head,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/367449_598153_597462_rg.png,1
357,a young chair with a black hair,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/360760_1237061_432344_gr.png,2
1473,a table with a paper on it in front of it,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/444315_419717_420231_rg.png,1
4790,a man with a black hair and a white shirt,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/55618_541936_533919_rg.png,1
4757,a boat,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/14611_180186_179160_rg.png,1
3049,a zebra,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/380885_590452_592403_gr.png,2
833,the giraffe on the left,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/205858_600088_594665_gr.png,2
4484,the brown leather luggage,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/317323_1184816_1183451_rg.png,1
617,a gray remote remote with remote,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/336660_1109602_1111166_gr.png,2
3929,a woman with black hair behind a baseball,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/529490_2008084_2154696_gr.png,2
4397,a man in a black hat,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/71407_203273_209538_rg.png,1
3350,a yellow and blue and yellow plate with blue and yellow fruit on it,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/332069_1899032_1900773_rg.png,1
5775,a little boy in a red shirt,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/556698_513701_420613_gr.png,2
520,boat boat in a boat on the right,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/279147_177357_178600_gr.png,2
40,a sandwich with a pink and blue and green top,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/213070_1569908_1074699_gr.png,2
2372,a man wearing a black shirt sitting on a white and jeans,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/339034_231458_219486_gr.png,2
1234,a black bag with a black jacket,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/116250_1183323_318892_rg.png,1
4847,a woman wearing a blue shirt sitting on a table,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/63866_378057_392060_rg.png,1
5005,a man in a black shirt and a black jacket,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/80448_502913_2206242_rg.png,1
2374,a man in a black shirt and jeans,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/339034_231458_219486_gr.png,2
743,a bicycle with a bicycle,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/107425_128414_126083_rg.png,1
5416,man in blue hat,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/256540_465561_431296_rg.png,1
1743,a zebra is behind the right,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/26421_1822778_591422_gr.png,2
3139,blonde blonde blonde hair,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/500694_460129_474619_gr.png,2
5263,zebra zebra,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/301970_589184_591713_rg.png,1
2534,a black car with a white car on a street,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/171231_1365302_167119_gr.png,2
5332,a white plate with a white and white sauce on it,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/400443_1088802_1088662_gr.png,2
2308,a chocolate and white carrots on the top,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/142378_1921363_1057125_gr.png,2
209,a green girl with green on it,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/458935_1101445_478652_gr.png,2
1181,a man with his jacket,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/370152_470112_470682_gr.png,2
3474,the cow in the right,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/12696_73956_75220_gr.png,2
1501,a man in a white hat,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/313278_532810_2158327_gr.png,2
4637,a boy in white shirt and red hat,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/546959_1750007_504794_gr.png,2
584,a pizza with a plate in front of pizza in front of a plate on it,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/17153_1071154_1070887_gr.png,2
4439,a man in a blue shirt,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/431904_487326_1799089_gr.png,2
2744,a white cup of a blue and white cup,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/519832_679148_678165_gr.png,2
962,a brown horse in a black shirt and white horse,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/222344_56425_56276_gr.png,2
4771,a baby lying to the animal,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/175210_587694_587835_rg.png,1
4466,a woman sitting at a woman,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/38756_440946_431557_gr.png,2
3464,a woman in a pink shirt,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/512400_485031_512208_gr.png,2
3366,the bottom of the chair,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/45359_1671430_1671260_rg.png,1
4515,a man in a blue shirt,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/363821_233103_228027_rg.png,1
3845,a chocolate chocolate of a chocolate chocolate chocolate,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/46065_1928359_1927470_rg.png,1
5795,the elephant,http://fromage.banatao.berkeley.edu/pragma/data/coco/boxed/122560_583586_582877_rg.png,1
