target,distractor,similarity,model_name,speaker_score,listener_score,description
889_0,875_6,4,sampling_speaker1,-27.0512404375,-1.54964947701,jenny is scared
889_0,875_6,4,sampling_speaker1,-4.85136596668,-0.252185821533,jenny is very happy
889_0,875_6,4,sampling_speaker1,-18.1314573908,-0.538079023361,jenny goes she wants to play with mike
889_0,875_6,4,sampling_speaker1,-21.5910761119,-1.21377682686,mike is kicking watched jenny
889_0,875_6,4,sampling_speaker1,-10.3308603571,-0.0682001113892,jenny is near a apple tree
889_0,875_6,4,sampling_speaker1,-12.4344512595,-0.252185821533,jenny is very happy
889_0,875_6,4,sampling_speaker1,-29.3645993204,-0.359942793846,jenny and mike see a take water
889_0,875_6,4,sampling_speaker1,-22.1133231462,-1.07899773121,jenny has a beach-ball hole in her head
889_0,875_6,4,sampling_speaker1,-22.594791237,-0.205517649651,they are standing ready to the kids
889_0,875_6,4,sampling_speaker1,-5.46197763761,-0.030366897583,jenny is standing near the apple tree
840_8,840_8,0,sampling_speaker1,-7.68750807524,-0.693147182465,a bear is wearing a crown
840_8,840_8,0,sampling_speaker1,-31.8000707947,-0.693147182465,someone want a baseball to make
840_8,840_8,0,sampling_speaker1,-21.4906963446,-0.693147182465,mike is holding a equipment a hat
840_8,840_8,0,sampling_speaker1,-14.7271707435,-0.693147182465,the bear away from jenny and mike
840_8,840_8,0,sampling_speaker1,-11.8890437171,-0.693147182465,jenny is holding the bear
840_8,840_8,0,sampling_speaker1,-9.90677562716,-0.693147182465,there is a snake on the hat
840_8,840_8,0,sampling_speaker1,-12.2757283625,-0.693147301674,mike is angry at jenny the bear
840_8,840_8,0,sampling_speaker1,-14.4190156648,-0.693147182465,jenny is scared of the bear
840_8,840_8,0,sampling_speaker1,-8.24547654064,-0.693147420883,the bear took mikes hat
840_8,840_8,0,sampling_speaker1,-18.6823776077,-0.693147182465,jenny slithers by the snake
888_8,837_5,3,sampling_speaker1,-4.48576228145,-2.00271606445e-05,jenny is kicking a soccer ball
888_8,837_5,3,sampling_speaker1,-47.3574496078,-1.79990959167,jenny better her legs cooking walks very happy
888_8,837_5,3,sampling_speaker1,-3.39003949048,-1.66893005371e-05,jenny is kicking the soccer ball
888_8,837_5,3,sampling_speaker1,-28.0587681732,-1.03013157845,mike is brown
888_8,837_5,3,sampling_speaker1,-6.14576207993,-2.14576721191e-05,jenny kicked the soccer ball
888_8,837_5,3,sampling_speaker1,-15.7775928398,-1.01226949692,a dog is watching them play
888_8,837_5,3,sampling_speaker1,-6.92356252757,-1.21808338165,the dog is watching jenny and mike
888_8,837_5,3,sampling_speaker1,-4.80925493512,-1.74045562744e-05,mike is kicking a soccer ball
888_8,837_5,3,sampling_speaker1,-5.37527964868,-3.19480895996e-05,jenny is kicking the soccer ball to mike
888_8,837_5,3,sampling_speaker1,-23.0599118164,-0.32369402051,jenny is sad
879_2,879_8,4,sampling_speaker1,-5.65914177715,-0.171259403229,the sun glasses in the sky
879_2,879_8,4,sampling_speaker1,-3.91890151269,-0.140455722809,the sun is in the sky
879_2,879_8,4,sampling_speaker1,-14.8798549712,-0.725243091583,the bear scared jenny
879_2,879_8,4,sampling_speaker1,-12.6845890772,-0.603558778763,the bear is growling at jennys head
879_2,879_8,4,sampling_speaker1,-11.7355085799,-0.438455104828,the sun glasses on the sky
879_2,879_8,4,sampling_speaker1,-9.36471055816,-0.72248506546,the bear is looking at the kids
879_2,879_8,4,sampling_speaker1,-15.668457233,-0.688512563705,the bear took up from jenny
879_2,879_8,4,sampling_speaker1,-6.96860328463,-0.000786066055298,the bear is standing in the sandbox
879_2,879_8,4,sampling_speaker1,-9.09577526094,-1.90077018738,a bear is wearing a purple glasses
879_2,879_8,4,sampling_speaker1,-10.7224218155,-1.8163497448,jenny is running to the bear
877_3,877_7,3,sampling_speaker1,-8.75337295897,-0.248727321625,jenny is standing near a campfire
877_3,877_7,3,sampling_speaker1,-16.6608933227,-0.00131249427795,jenny is happy she enjoy the pie
877_3,877_7,3,sampling_speaker1,-13.8657640958,-0.389667510986,the fire is between jenny and a tent
877_3,877_7,3,sampling_speaker1,-7.20420013253,-0.248092651367,the bear is standing in front of the tent
877_3,877_7,3,sampling_speaker1,-17.2660406849,-0.0554831027985,jenny is happy
877_3,877_7,3,sampling_speaker1,-5.47203174312,-0.534104347229,jenny is wearing a crown
877_3,877_7,3,sampling_speaker1,-16.9220550263,-0.800094127655,the bear is wearing the crown
877_3,877_7,3,sampling_speaker1,-10.9860203825,-0.0163869857788,jenny is frightened by the table
877_3,877_7,3,sampling_speaker1,-10.8296872521,-0.770770549774,a bear stole jennys crown
877_3,877_7,3,sampling_speaker1,-19.4376274351,-0.591818809509,jenny is frightened by the tent
890_3,890_3,0,sampling_speaker1,-5.63601382229,-0.693147182465,lightning is coming from the cloud
890_3,890_3,0,sampling_speaker1,-13.4913383511,-0.693147182465,lightning is running from jenny
890_3,890_3,0,sampling_speaker1,-14.0309675779,-0.693147182465,jenny is sad that mike has her hat
890_3,890_3,0,sampling_speaker1,-6.79242756445,-0.693147182465,jenny is wearing her hat
890_3,890_3,0,sampling_speaker1,-9.66533261947,-0.693147182465,jennys cat is in the air
890_3,890_3,0,sampling_speaker1,-12.153417236,-0.693147182465,the sun is above the hot dog
890_3,890_3,0,sampling_speaker1,-10.2468395801,-0.693147182465,there is a cat and dog in the park
890_3,890_3,0,sampling_speaker1,-12.3193408935,-0.693147182465,the cat and dog are running from jenny
890_3,890_3,0,sampling_speaker1,-11.5372457282,-0.693147420883,a cat is sitting on the grass
890_3,890_3,0,sampling_speaker1,-5.33285222082,-0.693147659302,the cat is wearing the hat
870_5,870_8,4,sampling_speaker1,-7.30147778177,-0.00621008872986,the snake is scaring jenny
870_5,870_8,4,sampling_speaker1,-5.10271840166,-0.28075838089,jenny is wearing a hat
870_5,870_8,4,sampling_speaker1,-3.94485096299,-0.537160873413,jenny is wearing a viking hat
870_5,870_8,4,sampling_speaker1,-4.23150406949,-0.134249210358,mike is wearing the hat
870_5,870_8,4,sampling_speaker1,-14.7895978119,-0.118003368378,the snake just stole the owl
870_5,870_8,4,sampling_speaker1,-5.10271840166,-0.28075838089,jenny is wearing a hat
870_5,870_8,4,sampling_speaker1,-12.8965928015,-0.0138330459595,the snake has a vikings hat on it
870_5,870_8,4,sampling_speaker1,-19.5682263456,-0.062798500061,the snake and the owl land them
870_5,870_8,4,sampling_speaker1,-17.0098839886,-0.00244808197021,the snake is wearing a baseball mitt
870_5,870_8,4,sampling_speaker1,-3.80301133272,-0.00332355499268,the snake is wearing the hat
868_0,868_0,0,sampling_speaker1,-15.4731725982,-0.693147182465,there is a red and owl on top of
868_0,868_0,0,sampling_speaker1,-14.3379633098,-0.693147182465,jenny is holding the frisbee
868_0,868_0,0,sampling_speaker1,-17.0225473706,-0.693147182465,jenny threw the frisbee
868_0,868_0,0,sampling_speaker1,-11.3697831956,-0.693147182465,mike is wearing a hat
868_0,868_0,0,sampling_speaker1,-7.42001925632,-0.693146944046,the owl is sitting in the tree
868_0,868_0,0,sampling_speaker1,-11.8636415203,-0.693147182465,mike and jenny were playing in the park
868_0,868_0,0,sampling_speaker1,-10.381241641,-0.693147182465,mike is sitting beside the tree
868_0,868_0,0,sampling_speaker1,-14.4150817691,-0.693146944046,the owl is getting of the frisbee
868_0,868_0,0,sampling_speaker1,-17.5304106928,-0.693147182465,mike has a frisbee
868_0,868_0,0,sampling_speaker1,-7.71298946279,-0.693147182465,the owl is on the tree
805_6,805_0,4,sampling_speaker1,-15.2892852768,-2.24868249893,jenny is by the tree
805_6,805_0,4,sampling_speaker1,-14.3133677027,-0.838364601135,mike ate a hamburger and jenny are sitting on
805_6,805_0,4,sampling_speaker1,-9.36910335285,-0.00491380691528,jenny is wearing a colorful cap
805_6,805_0,4,sampling_speaker1,-10.6311337529,-2.84459209442,jenny is eating a hamburger
805_6,805_0,4,sampling_speaker1,-9.81486878953,-2.99190950394,jenny is holding a hamburger
