id,target,distractor,similarity,model_name,speaker_score,listener_score,description
0,344065_1558798,344065_183835,0,sampling_speaker1,-6.04594728423,-0.685668349266,a bunch of bananas
1,344065_1558798,344065_183835,0,sampling_speaker1,-12.4906967144,-0.791952013969,a bananas on a white bananas
2,344065_1558798,344065_183835,0,sampling_speaker1,-14.7939115911,-1.03454732895,a man in a bananas on the basket
3,344065_1558798,344065_183835,0,sampling_speaker1,-6.04594728423,-0.685668349266,a bunch of bananas
4,344065_1558798,344065_183835,0,sampling_speaker1,-12.3277542172,-0.740252315998,a bananas with a bunch of bananas
5,344065_1558798,344065_183835,0,sampling_speaker1,-8.00613190836,-1.02913939953,a man in the bananas
6,344065_1558798,344065_183835,0,sampling_speaker1,-20.5296327499,-0.905558824539,a wooden oranges oranges in a black and bananas
7,344065_1558798,344065_183835,0,sampling_speaker1,-13.0959592848,-0.98800611496,a man in a bunch of bananas and bananas
8,344065_1558798,344065_183835,0,sampling_speaker1,-5.23697422925,-0.75085991621,the bananas
9,344065_1558798,344065_183835,0,sampling_speaker1,-9.10634604782,-0.775017976761,a small bananas bananas
10,270362_1047662,270362_691171,0,sampling_speaker1,-6.95898583943,-0.590234100819,the right
11,270362_1047662,270362_691171,0,sampling_speaker1,-22.7276923076,-0.61407327652,a green apple in a red and white and apple
12,270362_1047662,270362_691171,0,sampling_speaker1,-8.57884648195,-0.596839308739,a apple apple
13,270362_1047662,270362_691171,0,sampling_speaker1,-9.66632465158,-0.604501724243,a bowl of fruit
14,270362_1047662,270362_691171,0,sampling_speaker1,-13.6328345723,-0.60443264246,a green apple apple on a fruit
15,270362_1047662,270362_691171,0,sampling_speaker1,-12.6675235963,-0.609805107117,a apple on a lemon
16,270362_1047662,270362_691171,0,sampling_speaker1,-11.9727690575,-0.596299111843,a green apple on the fruit
17,270362_1047662,270362_691171,0,sampling_speaker1,-16.4725236216,-0.597139000893,a yellow apple and yellow lemon
18,270362_1047662,270362_691171,0,sampling_speaker1,-12.6850351521,-0.59207880497,a green apple to the right of an apple
19,270362_1047662,270362_691171,0,sampling_speaker1,-15.2452718603,-0.597774267197,an orange apple with a green lemon
20,344073_1104230,344073_1103981,0,sampling_speaker1,-26.8198306759,-0.689669668674,a black computer screen to the right of two other other other other not
21,344073_1104230,344073_1103981,0,sampling_speaker1,-6.04650533761,-0.509097695351,a desk
22,344073_1104230,344073_1103981,0,sampling_speaker1,-11.6576124635,-0.511189699173,a black computer behind a desk
23,344073_1104230,344073_1103981,0,sampling_speaker1,-15.5894950687,-0.518944621086,a black color computer next to the desk
24,344073_1104230,344073_1103981,0,sampling_speaker1,-16.3473892697,-0.512808084488,a black desktop with a desktop on it
25,344073_1104230,344073_1103981,0,sampling_speaker1,-7.74168784841,-0.510143756866,a black laptop
26,344073_1104230,344073_1103981,0,sampling_speaker1,-14.9855760827,-0.511940479279,a black desktop computer next to a desk
27,344073_1104230,344073_1103981,0,sampling_speaker1,-20.8391910238,-0.545338869095,a computer monitor of a black computer desktop
28,344073_1104230,344073_1103981,0,sampling_speaker1,-36.0631056399,-0.511413097382,a black color computer with a black , and desktop near the other desk
29,344073_1104230,344073_1103981,0,sampling_speaker1,-12.1363406745,-0.524461269379,a desk next to a computer
